OBJECTID,Rack_Name,POINT_X,POINT_Y
4,,-84.7422954,39.51099544
5,,-84.75093379,39.50682807
6,,-84.75165633,39.50563517
7,,-84.77404624,39.50479199
8,,-84.7438974,39.51064215
9,,-84.74424917,39.51012871
10,,-84.74292708,39.51060364
11,,-84.74292708,39.51060364
12,,-84.74291222,39.51087411
13,,-84.74260027,39.51085119
14,,-84.74260918,39.51060823
15,,-84.74176245,39.51084432
16,,-84.74176542,39.51060364
17,,-84.74275476,39.51101623
18,,-84.740681,39.50998705
19,,-84.7582136,39.48937147
20,,-84.75347089,39.50756614
21,,-84.75401756,39.50722001
22,,-84.75042646,39.50823457
23,,-84.75065213,39.50893453
24,,-84.74848996,39.50800399
25,,-84.74837587,39.50567687
26,,-84.74812808,39.50733815
27,,-84.74852025,39.5071555
28,,-84.74967989,39.50776692
29,,-84.74537777,39.50587219
30,,-84.74504799,39.5070871
31,,-84.7444627,39.50686246
32,,-84.74456966,39.50679599
33,,-84.74500343,39.50641547
34,,-84.74545442,39.50986178
35,,-84.74489374,39.51063657
36,,-84.74171415,39.51163679
37,,-84.74169656,39.51274158
38,,-84.74642448,39.51616866
39,,-84.75010549,39.51564345
40,,-84.74423777,39.5003286
41,,-84.73264613,39.49026754
42,,-84.73366492,39.50138144
43,,-84.76729482,39.5281151
