"x","y","name"
-84.73745111,39.50891761," king library"
-84.73742839,39.50867753," king"
-84.73670803,39.50906642," harrison"
-84.73591411,39.50941838," ogden"
-84.73596814,39.50907867," harrison"
-84.73540707,39.50993104," bell tower cafe"
-84.73510762,39.50905051," elliott"
-84.73513776,39.50845894," stoddard"
-84.73391767,39.50902735," upham"
-84.73337819,39.50997064," best"
-84.73275956,39.50975232," best"
-84.73174962,39.5100214," hughes"
-84.73177208,39.50934145," hughes"
-84.73172824,39.50940478," hughes"
-84.73288164,39.50874417," upham"
-84.73292162,39.50857048," upham"
-84.7326567,39.50790956," culler"
-84.73274644,39.50742655," asc"
-84.73356001,39.50738298," asc"
-84.73429333,39.50767153," kreger"
-84.73403567,39.5082866," asc"
-84.7338542,39.50821913," asc"
-84.73392317,39.50843711," upham"
-84.73578868,39.50817851," irvin"
-84.73654796,39.50818729," alumni"
-84.73794823,39.50840123," king cafe"
-84.73870497,39.50832643," mcguffey"
-84.73904081,39.50715078," cab"
-84.73877109,39.50713532," cab"
-84.73915589,39.50635209," cab"
-84.73890762,39.50503118," health services center"
-84.73766443,39.50383393," goggin"
-84.73763762,39.50405284," goggin"
-84.7377651,39.5030505," rec center"
-84.73801396,39.50221177," rec center"
-84.73773777,39.50218954," rec center"
-84.73854101,39.50119743," pines lodge"
-84.7374507,39.50118949," tallawanda"
-84.73682368,39.50087452," reid"
-84.73637719,39.50425949," goggin"
-84.73661818,39.50522265," phillips"
-84.73677691,39.50561044," phillips"
-84.73756625,39.50688601," wells"
-84.73742014,39.50715598," wells"
-84.7351642,39.51712005," millett"
-84.73347521,39.51502441," martin"
-84.73282318,39.51512443," hahne"
-84.73254599,39.51529754," hahne"
-84.73269411,39.51589462," flower"
-84.73231366,39.51570949," hahne"
-84.73230837,39.51619059," flower"
-84.73311921,39.51481961," hepburn"
-84.73356725,39.51449877," brandon"
-84.73339553,39.51430895," hepburn"
-84.73359842,39.51418962," macfarland"
-84.73431122,39.51429257," macfarland"
-84.73428058,39.51446064," brandon"
-84.73396519,39.51391088," mcfarland"
-84.73308332,39.51394329," hepburn"
-84.73335301,39.51291386," mckie field"
-84.73373027,39.51220078," university archives"
-84.73452893,39.51249708," withrow court"
-84.73447112,39.51149792," swing"
-84.73434764,39.51148063," swing"
-84.73402972,39.51088808," benton"
-84.7341698,39.51071419," benton"
-84.73314583,39.51062654," benton"
-84.73272869,39.51052491," benton"
-84.73266088,39.51052227," benton"
-84.7317428,39.51063081," pearson"
-84.73174001,39.51067332," pearson"
-84.73163903,39.51056087," pearson"
-84.73185092,39.51065904," benton"
-84.73182888,39.51075945," benton"
-84.73170096,39.51153217," psychology"
-84.73113239,39.51193819," psychology"
-84.73111303,39.512111," psychology"
-84.73049217,39.51103108," farmer"
-84.7304838,39.51139924," farmer"
-84.73012189,39.51116569," farmer"
-84.72938009,39.51100859," farmer"
-84.72908172,39.51100861," farmer"
-84.72914152,39.51125913," farmer"
-84.73234318,39.50769402," culler"
-84.72983726,39.50749254," bachelor"
-84.73023333,39.50735633," bachelor"
-84.73014179,39.5068679," bachelor"
-84.72958797,39.50698141," bachelor"
-84.72845058,39.50673562," beechwood"
-84.72703339,39.50620208," hillcrest"
-84.726401,39.50555242," child development center"
-84.72543975,39.50453313," thomson"
-84.72565659,39.50358619," boyd"
-84.72586858,39.50155591," peabody"
-84.72615709,39.50288351," mckee"
-84.72997131,39.50397492," presser"
-84.72771805,39.50384867," mary lyon"
-84.72756829,39.50380169," mary lyon"
-84.72768122,39.50351137," hoyt"
-84.72791853,39.50480638," western dining"
-84.72750361,39.50525284," havighurst"
-84.72749708,39.5051996," havighurst"
-84.72625786,39.5042213," clawson"
-84.72706147,39.50531367," havighurst"
-84.72723742,39.50551182," havighurst"
-84.72708822,39.50796463," cole service"
-84.72644015,39.50835165," cole service"
-84.72670515,39.50876203," cole service"
-84.73550227,39.50685375," warfield"
-84.73549846,39.5062902," hamilton"
-84.73550957,39.50511129," hamilton"
-84.73548909,39.50503079," richard"
-84.73567546,39.50588795," hamilton"
-84.73576325,39.50476871," richard"
-84.73489953,39.50435701," mac cracken"
-84.73439004,39.50435119," mac cracken"
-84.73394946,39.50441644," scott"
-84.73396949,39.50469638," scott"
-84.73355116,39.5050194," scott"
-84.73365927,39.50509746," minnich"
-84.73370614,39.50622443," minnich"
-84.73330212,39.50564934," minnich"
-84.73362968,39.50379306," scott"
-84.73441133,39.50376111," mac cracken"
-84.73517973,39.50308502," porter"
-84.73538189,39.50239183," anderson"
-84.73553535,39.50265894," porter"
-84.73578406,39.5031698," porter"
-84.73494363,39.50180681," harris dining"
-84.7334776,39.50208353," stanton"
-84.73376724,39.50255855," stanton"
-84.73426037,39.50232576," harris dining"
-84.73400959,39.50309065," dodds"
-84.73351887,39.50319924," dodd"
-84.73290762,39.50378027," maplestreet station"
-84.73245333,39.50357886," etheridge"
-84.73285457,39.50277342," morris"
-84.73279209,39.50246325," morris"
-84.73259371,39.50187495," emerson"
-84.73107751,39.50284203," tappan"
-84.73118878,39.50222624," tappan"
-84.73147374,39.50215286," tappan"
-84.73145365,39.50191562," emerson"
-84.73168927,39.50092256," glos center"
-84.7312314,39.49987627," panuska development center"
-84.73222756,39.49927859," advancement services"
-84.73221067,39.50437358," maplestreet station"
-84.73230978,39.50414784," maplestreet station"
-84.73229503,39.50407944," maplestreet station"
-84.73213636,39.50477196," center for performing arts"
-84.73264767,39.50481097," maplestreet station"
-84.7321506,39.5052561," center for performing arts"
-84.73127465,39.50552559," art building"
-84.73163399,39.50585326," art building"
-84.73092971,39.50577736," art building"
-84.73276418,39.50570976," hiestand"
-84.73153349,39.5063391," shriver"
-84.7312871,39.50678399," shriver"
-84.73256241,39.50678236," shriver"
-84.73354439,39.50665659," MacMillan"
-84.73841663,39.50934537," hall auditorium"
-84.73446404,39.509269," roudebush"
-84.73560119,39.50766338," irvin"
-84.73772685,39.50762259," McGuffey"
-84.73382125,39.51281048," archives"
-84.72943093,39.50092921," art museum"
-84.7422954,39.51099544,NA
-84.75093379,39.50682807,NA
-84.75165633,39.50563517,NA
-84.77404624,39.50479199,NA
-84.7438974,39.51064215,NA
-84.74424917,39.51012871,NA
-84.74292708,39.51060364,NA
-84.74291222,39.51087411,NA
-84.74260027,39.51085119,NA
-84.74260918,39.51060823,NA
-84.74176245,39.51084432,NA
-84.74176542,39.51060364,NA
-84.74275476,39.51101623,NA
-84.740681,39.50998705,NA
-84.7582136,39.48937147,NA
-84.75347089,39.50756614,NA
-84.75401756,39.50722001,NA
-84.75042646,39.50823457,NA
-84.75065213,39.50893453,NA
-84.74848996,39.50800399,NA
-84.74837587,39.50567687,NA
-84.74812808,39.50733815,NA
-84.74852025,39.5071555,NA
-84.74967989,39.50776692,NA
-84.74537777,39.50587219,NA
-84.74504799,39.5070871,NA
-84.7444627,39.50686246,NA
-84.74456966,39.50679599,NA
-84.74500343,39.50641547,NA
-84.74545442,39.50986178,NA
-84.74489374,39.51063657,NA
-84.74171415,39.51163679,NA
-84.74169656,39.51274158,NA
-84.74642448,39.51616866,NA
-84.75010549,39.51564345,NA
-84.74423777,39.5003286,NA
-84.73264613,39.49026754,NA
-84.73366492,39.50138144,NA
-84.76729482,39.5281151,NA
